Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19
2853,92,3,5966,2998,2737,261,2816,2933,2933,2779,15481,2382,422,430,6156,1841,1841,4245
2821,27,1,4957,2909,2743,166,2837,2799,2886,2761,8846,1183,393,299,3092,1473,2427,1907
2832,69,3,5632,2954,2732,222,2771,2791,2904,2760,8650,814,467,138,2366,1757,2354,2160
2818,22,1,5340,2909,2738,171,2867,2767,2887,2754,7946,915,411,217,2496,1407,2285,1687
2841,75,3,5598,2965,2740,225,2807,2802,2915,2771,6909,684,477,126,1901,1488,1779,1753
2829,65,3,5382,2945,2734,211,2899,2789,2899,2761,8908,907,450,157,2515,1747,2515,2179
2812,63,2,5587,2931,2717,214,2856,2800,2885,2743,9103,1078,443,216,2862,1679,2322,2280
2860,87,3,5536,2987,2747,240,2850,2930,2933,2791,8027,878,466,174,2358,1599,1615,2080
2831,69,3,5585,2953,2732,221,2903,2791,2903,2760,8716,858,453,147,2428,1740,2428,2170
2829,69,3,5380,2946,2731,215,2771,2855,2899,2761,9823,1000,621,127,2818,2186,2407,2686
2815,58,2,5587,2932,2722,210,2860,2769,2888,2747,7960,934,395,209,2492,1497,2066,1933
2877,102,3,6411,3035,2748,287,2879,2964,2964,2798,9000,1373,258,437,3674,1146,1146,2242
2833,64,3,5242,2946,2738,208,2839,2793,2900,2766,9042,911,465,169,2653,1778,2383,2204
2826,95,3,8230,2980,2667,313,2914,2735,2928,2716,5752,876,197,459,2376,715,2347,770
2818,41,2,5610,2926,2729,197,2865,2768,2891,2751,6586,727,350,213,2063,1179,2018,1380
2813,62,2,5572,2931,2719,212,2858,2801,2886,2745,9530,1174,445,240,3058,1711,2374,2392
2883,48,2,5029,2985,2797,188,2860,2950,2950,2823,6211,933,137,400,2263,729,729,1829
2892,75,3,5780,3024,2780,244,2861,2970,2970,2822,7016,1073,115,472,2828,684,684,2056
